deweyClass,title,checktimes,years,months,days
005.2768,"Microsoft ASP NET programming with Microsoft Visual C NET step by step version 2003",1,2006,1,31
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,1,31
005.71262,"Java in a nutshell a desktop quick reference",1,2006,2,1
005.71262,"JavaScript a beginners guide",1,2006,2,1
005.133,"Practical C programming",1,2006,2,1
005.133,"Practical Java programming language guide",1,2006,2,1
005.133,"Sun certified programmer for Java 2 study guide",1,2006,2,1
005.133,"Thinking in Java",1,2006,2,1
005.133,"C C programmers reference",1,2006,2,1
005.133,"Programming Ruby the pragmatic programmers guide",1,2006,2,1
005.2762,"Web database applications with PHP and MySQL",1,2006,2,2
005.133,"JavaScript comprehensive",1,2006,2,2
005.7565,"Oracle8 PL SQL programming",1,2006,2,2
005.7585,"XML and SQL Server 2000",1,2006,2,3
005.72,"JavaScript and DHTML cookbook",1,2006,2,3
005.133,"Secure PHP development building 50 practical applications",1,2006,2,3
005.133,"Visual C 2005 a developers notebook",1,2006,2,3
005.133,"Practical Python",1,2006,2,3
005.133,"quick Python book",1,2006,2,3
005.133,"Java examples in a nutshell",1,2006,2,3
005.133,"Java for dummies",1,2006,2,3
005.133,"Head first Java",1,2006,2,3
005.2762,"JavaScript bible",1,2006,2,3
005.2762,"PHP 5 fast easy web development",1,2006,2,4
005.2768,"MCAD MCSD self paced training kit developing XML Web services and server components with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 310 and 70 320",1,2006,2,4
005.71262,"Java in a nutshell a desktop quick reference",1,2006,2,4
005.72,"Instant PHP 4",1,2006,2,7
005.72,"PHP and MySQL Web development",1,2006,2,7
005.133,"Programming Ruby the pragmatic programmers guide",1,2006,2,7
005.2762,"Web database applications with PHP and MySQL",1,2006,2,8
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,2,8
005.276,"Java and SOAP",1,2006,2,8
005.2762,"Advanced JavaScript insights and innovative techniques",1,2006,2,8
005.133,"complete idiots guide to Java 2",1,2006,2,8
005.133,"JavaScript the definitive guide",1,2006,2,8
005.2762,"How to do everything with JavaScript",1,2006,2,10
005.133,"Beginning C the complete language",1,2006,2,10
005.133,"Concurrent programming in Java design principles and patterns",1,2006,2,10
005.133,"Sams teach yourself C in 24 hours",1,2006,2,10
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,2,11
005.71262,"Java in a nutshell a desktop quick reference",2,2006,2,11
005.133,"Learn Java in a weekend",1,2006,2,11
005.133,"PHP essentials",1,2006,2,11
005.133,"C for Java programmers",1,2006,2,11
005.133,"Core Java 1 2",1,2006,2,11
005.7585,"MCSE MCSD SQL Server 7 database design study guide",1,2006,2,11
005.72,"Sams teach yourself JavaServer Pages in 24 hours",1,2006,2,13
005.71262,"Sams teach yourself wireless Java with J2ME in 21 days",1,2006,2,13
005.72,"JavaScript and DHTML cookbook",1,2006,2,13
005.133,"Using JavaScript",1,2006,2,13
005.2762,"Advanced JavaScript insights and innovative techniques",1,2006,2,13
005.133,"Java in a nutshell",1,2006,2,13
005.133,"Python essential reference",1,2006,2,13
005.133,"Hardcore Java",1,2006,2,13
005.2762,"JavaScript bible",1,2006,2,13
005.133,"C C programmers reference",1,2006,2,14
005.133,"Joe Celkos SQL for smarties advanced SQL programming",1,2006,2,15
005.2762,"Web database applications with PHP and MySQL",1,2006,2,15
005.1,"Extreme programming with Ant building and deploying Java applications with JSP EJB XSLT xDoclet and Junit",1,2006,2,15
005.155,"Java how to program",1,2006,2,15
005.133,"PHP developers cookbook",1,2006,2,15
005.133,"Learning Java",1,2006,2,16
005.133,"Accelerated C practical programming by example",1,2006,2,16
005.133,"Java pitfalls time saving solutions and workarounds to improve programs",1,2006,2,16
005.7565,"Sams teach yourself SQL in 21 days",1,2006,2,16
005.72,"Java and XML",1,2006,2,16
005.262,"Java development with Ant",1,2006,2,16
005.2762,"Designing with Javascript creating dynamic Web pages",1,2006,2,16
005.133,"Programming in the key of C a primer for aspiring programmers",1,2006,2,16
005.133,"Beginning programming with Java for dummies",1,2006,2,17
005.133,"Exceptional C 47 engineering puzzles programming problems and solutions",1,2006,2,17
005.133,"Practical Java programming language guide",1,2006,2,17
005.133,"Sams teach yourself Java 2 in 21 days",1,2006,2,17
005.133,"Visual C 2005 a developers notebook",1,2006,2,17
005.276,"Java and SOAP",1,2006,2,18
005.7585,"Learn Microsoft SQL Server 2000",1,2006,2,18
005.7585,"Microsoft Access projects with Microsoft SQL server",1,2006,2,18
005.2762,"Professional JavaScript",1,2006,2,18
005.7585,"MCSE administering SQL server 7",1,2006,2,19
005.7585,"Transact SQL desk reference",1,2006,2,19
005.756,"Learn SQL in three days",1,2006,2,21
005.7565,"Sams teach yourself SQL in 21 days",1,2006,2,21
005.133,"C C programmers reference",1,2006,2,21
005.133,"Java programming the easy way",1,2006,2,21
005.2762,"PHP MySQL for dummies",1,2006,2,21
005.2762,"Enterprise JavaBeans",1,2006,2,22
005.155,"Java how to program",1,2006,2,22
005.2762,"book of JavaScript a practical guide to interactive web pages",1,2006,2,22
005.1,"Extreme programming with Ant building and deploying Java applications with JSP EJB XSLT xDoclet and Junit",1,2006,2,22
005.72,"Programming PHP",1,2006,2,22
005.133,"Java and JMX building manageable systems",1,2006,2,22
005.133,"Java examples in a nutshell",1,2006,2,22
005.133,"Object oriented C data structures for real programmers",1,2006,2,22
005.2762,"PHP 5 fast easy web development",1,2006,2,23
005.133,"Hardcore Java",1,2006,2,23
005.133,"Programming in the key of C a primer for aspiring programmers",1,2006,2,23
005.133,"Secure PHP development building 50 practical applications",1,2006,2,23
005.72,"Programming PHP",1,2006,2,23
005.2768,"Microsoft ASP NET programming with Microsoft Visual C NET step by step version 2003",1,2006,2,23
005.71262,"JavaScript a beginners guide",1,2006,2,23
005.72,"JavaScript 1 5 by example",1,2006,2,23
005.72,"JavaScript and DHTML cookbook",1,2006,2,23
005.71262,"Sams teach yourself Java 2 in 24 hours",1,2006,2,24
005.2762,"PHP MySQL for dummies",1,2006,2,24
005.133,"Practical Python",1,2006,2,24
005.2762,"Advanced JavaScript insights and innovative techniques",1,2006,2,24
005.133,"quick Python book",1,2006,2,25
005.72,"Scripting XML and WMI for Microsoft SQL server 2000 professional developers guide",1,2006,2,25
005.7585,"Transact SQL desk reference",1,2006,2,27
005.2762,"How to do everything with JavaScript",1,2006,2,27
005.71262,"JavaScript a beginners guide",1,2006,2,27
005.133,"Bitter Java",1,2006,2,27
005.2768,"Managed C and NET development",1,2006,2,28
005.133,"Sun certified programmer developer for Java 2 study guide exams 310 035 310 027",1,2006,2,28
005.133,"Sams teach yourself C in 21 days",1,2006,3,1
005.133,"Visual C 2005 a developers notebook",1,2006,3,1
005.133,"Beginning programming with Java for dummies",1,2006,3,1
005.7585,"Learn SQL in a weekend",1,2006,3,1
005.2762,"JavaScript bible",1,2006,3,1
005.133,"JavaScript the definitive guide",1,2006,3,1
005.133,"Instant C programming",1,2006,3,2
005.133,"Java NIO",1,2006,3,2
005.7585,"MCSE administering SQL server 7",1,2006,3,2
005.7585,"Microsoft SQL Server 2000 DTS step by step",1,2006,3,2
005.133,"Sams teach yourself C in 21 days",1,2006,3,2
005.133,"Sams teach yourself the C language in 21 days",1,2006,3,2
005.2762,"Web database applications with PHP and MySQL",1,2006,3,2
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,3,2
005.133,"Learn C now",1,2006,3,2
005.72,"Struts in action building web applications with the leading Java framework",1,2006,3,3
005.7585,"Beginning Visual basic SQL server 7 0",1,2006,3,3
005.369,"Hands on Visual C for Web development",1,2006,3,3
005.71262,"Enterprise JavaBeans component architecture designing and coding enterprise applications",1,2006,3,3
005.133,"Sams teach yourself C in 24 hours",1,2006,3,4
005.276,"Advanced JavaServer pages",1,2006,3,4
005.7585,"Microsoft SQL Server 2000 DTS step by step",1,2006,3,4
005.133,"Python in a nutshell",2,2006,3,4
005.71262,"Java in a nutshell a desktop quick reference",1,2006,3,5
005.71262,"Sams teach yourself Java 2 in 24 hours",1,2006,3,5
005.133,"Sun certified programmer developer for Java 2 study guide exams 310 035 310 027",1,2006,3,5
005.133,"Sams teach yourself C in 24 hours",1,2006,3,6
005.133,"art of Java",1,2006,3,6
005.2762,"JavaScript bible",1,2006,3,6
005.2762,"JavaServer pages",1,2006,3,6
005.133,"JavaScript the definitive guide",1,2006,3,7
005.7585,"Microsoft Access projects with Microsoft SQL server",1,2006,3,7
005.133,"Object oriented programming in Java",1,2006,3,8
005.133,"Programming in the key of C a primer for aspiring programmers",1,2006,3,8
005.2768,"Microsoft ASP NET programming with Microsoft Visual C NET step by step version 2003",1,2006,3,8
005.71262,"JavaScript a beginners guide",1,2006,3,8
005.2762,"Web database applications with PHP and MySQL",1,2006,3,9
005.72,"JavaScript 1 5 by example",1,2006,3,9
005.72,"PHP and MySQL Web development",1,2006,3,9
005.7585,"Learn Microsoft SQL Server 2000",1,2006,3,9
005.133,"Sams teach yourself the C language in 21 days",1,2006,3,9
005.2762,"book of JavaScript a practical guide to interactive web pages",1,2006,3,9
005.133,"Concurrent programming in Java design principles and patterns",1,2006,3,9
005.133,"Head first Java",1,2006,3,9
005.133,"Java 2 the complete reference",1,2006,3,9
005.72,"MCAD MCSD self paced training kit Developing Web applications with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 305 and 70 315",1,2006,3,10
005.7585,"Learn Microsoft SQL Server 2000",1,2006,3,10
005.7585,"MCSE MCSD SQL Server 7 database design study guide",1,2006,3,11
005.2762,"Web database applications with PHP and MySQL",1,2006,3,11
005.133,"Thinking in Java",1,2006,3,11
005.133,"Learning Java",1,2006,3,11
005.133,"JavaScript comprehensive",1,2006,3,11
005.133,"complete idiots guide to Java 2",1,2006,3,11
005.72,"Instant PHP 4",1,2006,3,12
005.72,"Sams teach yourself JavaServer Pages in 24 hours",1,2006,3,12
005.133,"Sams teach yourself the C language in 21 days",1,2006,3,12
005.133,"Turbo C C the complete reference",1,2006,3,12
005.133,"How not to program in C 111 broken programs and 3 working ones or why does 22 5986",1,2006,3,12
005.133,"Java black book",1,2006,3,12
005.133,"Beginning programming with Java for dummies",1,2006,3,13
005.133,"PHP essentials",1,2006,3,13
005.133,"Practical Java programming language guide",1,2006,3,14
005.7565,"Sams teach yourself SQL in 21 days",1,2006,3,14
005.71262,"Sams teach yourself Java 2 in 24 hours",1,2006,3,14
005.2762,"Web database applications with PHP and MySQL",3,2006,3,15
005.72,"MCAD MCSD self paced training kit Developing Web applications with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 305 and 70 315",1,2006,3,15
005.7585,"Oracle DBA SQL quick reference",1,2006,3,15
005.133,"How not to program in C 111 broken programs and 3 working ones or why does 22 5986",1,2006,3,15
005.2762,"How to do everything with JavaScript",1,2006,3,15
005.133,"Learn Java in a weekend",1,2006,3,15
005.133,"PHP developers cookbook",1,2006,3,15
005.133,"Learning Java",1,2006,3,16
005.2762,"PHP 5 fast easy web development",1,2006,3,16
005.71262,"JavaScript a beginners guide",1,2006,3,16
005.72,"JavaScript and DHTML cookbook",1,2006,3,16
005.133,"Java programming from the beginning",1,2006,3,16
005.133,"Joe Celkos SQL for smarties advanced SQL programming",1,2006,3,16
005.133,"Sun certified programmer for Java 2 study guide",1,2006,3,16
005.1,"Extreme programming with Ant building and deploying Java applications with JSP EJB XSLT xDoclet and Junit",1,2006,3,16
005.133,"art of Java",1,2006,3,17
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,3,17
005.72,"DHTML and JavaScript cascading style sheets JavaScript style sheets JavaScripted layers plus advanced JavaScript 1 2 1 3",1,2006,3,17
005.155,"Java how to program",1,2006,3,17
005.262,"Java development with Ant",1,2006,3,17
005.133,"PHP essentials",1,2006,3,18
005.756,"Learn SQL in three days",1,2006,3,18
005.2762,"Web database applications with PHP and MySQL",1,2006,3,19
005.2768,"MCAD MCSD self paced training kit developing XML Web services and server components with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 310 and 70 320",1,2006,3,19
005.2762,"Web database applications with PHP and MySQL",1,2006,3,20
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,3,20
005.133,"Visual C 2005 a developers notebook",1,2006,3,20
005.133,"Beginning programming with Java for dummies",1,2006,3,20
005.2762,"Enterprise JavaBeans",1,2006,3,20
005.72,"Programming PHP",1,2006,3,20
005.7585,"Microsoft SQL Server 2000 DTS step by step",1,2006,3,21
005.133,"Beginning programming with Java for dummies",1,2006,3,21
005.2768,"MCAD MCSD self paced training kit developing XML Web services and server components with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 310 and 70 320",1,2006,3,21
005.72,"DHTML and JavaScript cascading style sheets JavaScript style sheets JavaScripted layers plus advanced JavaScript 1 2 1 3",1,2006,3,21
005.72,"MCAD MCSD self paced training kit Developing Web applications with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 305 and 70 315",1,2006,3,21
005.133,"Sams teach yourself Java 2 in 21 days",1,2006,3,21
005.133,"Using JavaScript",1,2006,3,21
005.276,"Java and SOAP",1,2006,3,21
005.133,"Programming in the key of C a primer for aspiring programmers",1,2006,3,21
005.133,"Python essential reference",1,2006,3,21
005.133,"Programming in the key of C a primer for aspiring programmers",1,2006,3,22
005.133,"Programming Ruby the pragmatic programmers guide",1,2006,3,22
005.2768,"Managed C and NET development",1,2006,3,22
005.72,"JavaScript 1 5 by example",1,2006,3,22
005.133,"Microsoft C 4 0 pien i cheng shih shih yung shou tse",1,2006,3,22
005.133,"PHP developers cookbook",1,2006,3,22
005.133,"Sams teach yourself the C language in 21 days",1,2006,3,22
005.133,"Visual C 2005 a developers notebook",1,2006,3,22
005.71262,"JavaScript a beginners guide",1,2006,3,23
005.133,"Python essential reference",1,2006,3,23
005.133,"quick Python book",1,2006,3,23
005.756,"Learn SQL in three days",1,2006,3,23
005.7585,"Microsoft Access projects with Microsoft SQL server",1,2006,3,23
005.7585,"Transact SQL desk reference",1,2006,3,23
005.7585,"XML and SQL Server 2000",1,2006,3,23
005.133,"Core Java 1 2",1,2006,3,23
005.133,"Hardcore Java",1,2006,3,23
005.133,"Java programming from the beginning",1,2006,3,23
005.2762,"How to do everything with JavaScript",1,2006,3,23
005.2762,"JavaScript bible",1,2006,3,23
005.2762,"Enterprise JavaBeans",1,2006,3,24
005.2762,"Web database applications with PHP and MySQL",1,2006,3,24
005.262,"Java development with Ant",1,2006,3,24
005.133,"Secure PHP development building 50 practical applications",1,2006,3,25
005.2762,"How to do everything with JavaScript",1,2006,3,25
005.72,"Web development with JavaServer pages",1,2006,3,25
005.7565,"Sams teach yourself SQL in 21 days",1,2006,3,25
005.7585,"Murachs SQL for SQL server",1,2006,3,25
005.8,"Java security",1,2006,3,25
005.133,"Java examples in a nutshell",1,2006,3,25
005.133,"Object oriented C data structures for real programmers",1,2006,3,25
005.133,"Teach yourself Visual C 5 in 21 days",1,2006,3,26
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,3,26
005.72,"MCAD MCSD self paced training kit Developing Web applications with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 305 and 70 315",1,2006,3,27
005.133,"Sams teach yourself C in 24 hours",1,2006,3,27
005.133,"Thinking in Java",1,2006,3,27
005.2762,"Advanced JavaScript insights and innovative techniques",1,2006,3,28
005.2768,"Microsoft ASP NET programming with Microsoft Visual C NET step by step version 2003",1,2006,3,28
005.133,"Learn Java in a weekend",1,2006,3,28
005.72,"PHP and MySQL Web development",1,2006,3,28
005.756,"Learn SQL in three days",1,2006,3,28
005.7585,"Microsoft SQL server 2000 programming step by step",1,2006,3,28
005.7585,"Microsoft SQL Server 2000 DTS step by step",1,2006,3,29
005.2762,"Web database applications with PHP and MySQL",1,2006,3,29
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,3,29
005.133,"Sams teach yourself the C language in 21 days",1,2006,3,29
005.2762,"PHP 5 fast easy web development",1,2006,3,29
005.2762,"PHP MySQL for dummies",1,2006,3,29
005.133,"PHP essentials",1,2006,3,29
005.133,"JavaScript the definitive guide",1,2006,3,29
005.133,"JavaScript the definitive guide",1,2006,3,30
005.133,"Sun certified programmer developer for Java 2 study guide exams 310 035 310 027",1,2006,3,30
005.133,"Python essential reference",1,2006,3,30
005.133,"Python in a nutshell",1,2006,3,30
005.133,"C C programmers reference",1,2006,3,30
005.133,"Secure PHP development building 50 practical applications",1,2006,3,31
005.72,"Sams teach yourself JavaServer Pages in 24 hours",1,2006,3,31
005.2762,"JavaServer pages",1,2006,3,31
005.2762,"PHP 5 fast easy web development",1,2006,3,31
005.71262,"Java in a nutshell a desktop quick reference",1,2006,4,1
005.1,"Extreme programming with Ant building and deploying Java applications with JSP EJB XSLT xDoclet and Junit",1,2006,4,1
005.133,"Java 2 J2SE 1 4 complete",1,2006,4,1
005.133,"Java programming from the beginning",1,2006,4,1
005.72,"XML and PHP",1,2006,4,1
005.7585,"Learn SQL in a weekend",1,2006,4,1
005.133,"Practical C programming",1,2006,4,1
005.133,"PHP developers cookbook",1,2006,4,2
005.2762,"Professional JavaScript",1,2006,4,2
005.133,"Beginning programming with Java for dummies",1,2006,4,2
005.133,"Sams teach yourself C in 21 days",1,2006,4,2
005.133,"Visual C 2005 a developers notebook",1,2006,4,3
005.7585,"MCSE administering SQL server 7",1,2006,4,3
005.133,"Java examples in a nutshell a tutorial companion to Java in a nutshell",1,2006,4,3
005.133,"Beginning programming with Java for dummies",1,2006,4,4
005.133,"Head first Java",1,2006,4,4
005.133,"Accelerated C practical programming by example",1,2006,4,4
005.133,"Mastering the standard C classes an essential reference",1,2006,4,4
005.7565,"Sams teach yourself SQL in 21 days",1,2006,4,4
005.133,"Sun certified programmer developer for Java 2 study guide exams 310 035 310 027",1,2006,4,4
005.7585,"Inside Microsoft SQL Server 2000",1,2006,4,5
005.133,"Java in a nutshell",2,2006,4,6
005.2762,"Web database applications with PHP and MySQL",1,2006,4,6
005.133,"Visual C 2005 a developers notebook",1,2006,4,6
005.133,"Learning Java",1,2006,4,6
005.2762,"Web database applications with PHP and MySQL",1,2006,4,7
005.72,"JavaScript 1 5 by example",1,2006,4,7
005.71262,"Java in a nutshell a desktop quick reference",1,2006,4,8
005.71262,"JavaScript a beginners guide",1,2006,4,8
005.133,"Java 2 for the World Wide Web",1,2006,4,8
005.133,"Concurrent programming in Java design principles and patterns",1,2006,4,8
005.133,"Java examples in a nutshell",1,2006,4,9
005.133,"Java NIO",1,2006,4,10
005.71262,"Instant wireless Java with J2ME",1,2006,4,10
005.71262,"Java in a nutshell a desktop quick reference",1,2006,4,10
005.133,"Learning Java",1,2006,4,10
005.133,"Mobile information device profile for Java 2 MicroEdition",1,2006,4,11
005.133,"Practical Python",1,2006,4,11
005.133,"JavaScript the definitive guide",1,2006,4,11
005.75,"HTML to JavaScript",1,2006,4,11
005.7565,"Sams teach yourself SQL in 21 days",1,2006,4,11
005.7585,"Microsoft SQL Server 2000 DTS step by step",1,2006,4,11
005.71262,"Sams teach yourself wireless Java with J2ME in 21 days",1,2006,4,11
005.72,"DHTML and JavaScript cascading style sheets JavaScript style sheets JavaScripted layers plus advanced JavaScript 1 2 1 3",1,2006,4,11
005.2768,"Microsoft ASP NET programming with Microsoft Visual C NET step by step version 2003",1,2006,4,12
005.71262,"Sams teach yourself Java 2 in 24 hours",1,2006,4,12
005.133,"Exceptional C 47 engineering puzzles programming problems and solutions",1,2006,4,12
005.2762,"Web database applications with PHP and MySQL",1,2006,4,13
005.133,"Java in a nutshell",1,2006,4,13
005.133,"Joe Celkos SQL for smarties advanced SQL programming",1,2006,4,14
005.133,"Beginning C the complete language",1,2006,4,14
005.133,"C by dissection the essentials of C programming",1,2006,4,14
005.133,"Practical C programming",1,2006,4,14
005.72,"PHP and MySQL Web development",1,2006,4,14
005.7585,"Oracle DBA SQL quick reference",1,2006,4,14
005.133,"Thinking in Java",1,2006,4,14
005.133,"Beginning programming with Java for dummies",1,2006,4,15
005.133,"C for Java programmers",1,2006,4,15
005.2768,"Managed C and NET development",1,2006,4,15
005.7585,"Microsoft SQL Server 7 0 database implementation training kit",1,2006,4,17
005.7585,"Sams teach yourself Microsoft SQL server 7 0 in 21 days",1,2006,4,17
005.7585,"Inside Microsoft SQL Server 2000",1,2006,4,21
005.133,"Beginning Visual C 6",1,2006,4,21
005.133,"art of Java",1,2006,4,21
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,4,21
005.133,"More Java pitfalls 50 new time saving solutions and workarounds",1,2006,4,21
005.133,"Bitter Java",1,2006,4,22
005.133,"Hardcore Java",1,2006,4,22
005.2762,"JavaScript for the World Wide Web",1,2006,4,22
005.133,"Hitchhikers guide to Visual Basic and SQL server",1,2006,4,22
005.133,"Java 2 for the World Wide Web",1,2006,4,22
005.133,"Java in a nutshell",1,2006,4,22
005.133,"Python essential reference",1,2006,4,22
005.133,"art of Java",1,2006,4,22
005.133,"Learn C now",1,2006,4,23
005.133,"Instant C programming",1,2006,4,23
005.133,"Java pitfalls time saving solutions and workarounds to improve programs",1,2006,4,24
005.72,"PHP and MySQL Web development",1,2006,4,24
005.72,"Java and XML",1,2006,4,24
005.133,"Java 2 exam cram",1,2006,4,25
005.2762,"PHP 5 fast easy web development",1,2006,4,25
005.133,"Sun certified programmer for Java 2 study guide",1,2006,4,25
005.133,"C C programmers reference",1,2006,4,25
005.7565,"Sams teach yourself SQL in 21 days",1,2006,4,25
005.7585,"Microsoft SQL Server 2000 DTS step by step",1,2006,4,25
005.7585,"Murachs SQL for SQL server",1,2006,4,25
005.7585,"Microsoft SQL server 2000 programming step by step",1,2006,4,26
005.133,"Sams teach yourself the C language in 21 days",1,2006,4,26
005.2762,"Web database applications with PHP and MySQL",1,2006,4,26
